County Name,Graduation Rate,Poverty Rate,Household Size,Unemployment Rate,Median Income,Speak a language other than English
Seneca NY,0.86,18.3,3,5,47229,6.2
St. Lawrence NY,0.88,14.9,2.39,6.6,50073,8.7
Steuben NY,0.9,22.1,2.46,5.7,48823,4.8
Suffolk NY,0.9,9.1,3.04,4,90128,22.9
Sullivan NY,0.86,24.6,2.76,10.4,52027,6.6
Tioga NY,0.9,14.3,2.5,6,58115,3.2
Tompkins NY,0.95,15.5,2.27,3.3,54133,13.5
Ulster NY,0.9,14,2.44,5.3,60393,11.2
Warren NY,0.91,15.5,2.31,4.4,57174,5.3
Washington NY,0.89,17.9,2.3,4.9,51449,3.4
Wayne NY,0.9,16.3,2.42,4.6,51627,4.5
Westchester NY,0.88,11.8,2.72,5.1,86226,34.5
Wyoming NY,0.88,16.6,2.9,4.1,53612,4.4
Yates NY,0.85,21.1,2.6,4.7,50105,15.3
"Adams County, PA",0.88,10.2,39527,3.9,88813,2
"Allegheny County, PA",0.94,15.1,537381,5,86212,1.4
"Armstrong County, PA",0.89,16.7,26712,5.5,57614,1.9
"Beaver County, PA",0.92,13.9,71005,5.5,73819,2.8
"Berks County, PA",0.94,17.4,155154,6.2,80268,4.9
"Blair County, PA",0.91,17.3,51885,5.3,75219,2.5
"Bucks County, PA",0.93,8.1,239671,3.7,153293,2.5
"Butler County, PA",0.94,9.9,75513,3.8,133518,2.9
"Cambria County, PA",0.91,27.2,56023,5.8,80211,0.2
"Carbon County, PA",0.89,20.8,26213,6.9,91926,4.1
"Centre County, PA",0.93,12.3,58629,4.1,73867,3.2
"Chester County, PA",0.93,6.4,189506,4.3,131769,1.7
"Clearfield County, PA",0.87,23.1,29098,9.8,52483,4.4
"Columbia County, PA",0.89,11.9,26584,4.3,64018,0.1
"Crawford County, PA",0.88,19.2,36050,6.1,51994,0.6
"Cumberland County, PA",0.91,8.7,98242,3,78750,1.9
"Dauphin County, PA",0.89,17.9,110764,4.2,91549,2.6
"Delaware County, PA",0.92,12.9,205461,5.1,110382,2.7
"Erie County, PA",0.91,24.9,108458,6.1,80217,1.2
"Fayette County, PA",0.87,30.5,53256,5.8,43992,2.6
"Franklin County, PA",0.87,12.6,60979,4.2,76324,1.4
"Indiana County, PA",0.89,15.8,33664,8.7,69190,0.3
"Lackawanna County, PA",0.9,22.5,86213,4.4,91166,2.9
"Lancaster County, PA",0.85,13.6,201150,3.4,71884,3.7
"Lawrence County, PA",0.9,16.5,37341,7.2,92245,4.2
"Lebanon County, PA",0.86,15.8,52786,4,56902,3
"Lehigh County, PA",0.88,19.2,139466,6.1,83793,6.1
"Luzerne County, PA",0.89,26.6,126811,5.5,62154,2.9
"Lycoming County, PA",0.89,16.9,46122,4.7,150588,1.1
"Mercer County, PA",0.9,16.5,46453,5.4,66250,4.6
"Monroe County, PA",0.9,10.5,57668,6.7,110974,2.1
"Montgomery County, PA",0.94,6.7,314756,3.9,153833,2.3
"Northampton County, PA",0.9,16.6,113945,4.9,102810,3
"Northumberland County, PA",0.86,17.3,37684,3.7,80722,0.4
"Philadelphia County, PA",0.83,31.9,606142,9.1,69616,7.3
"Schuylkill County, PA",0.88,19.3,57492,6.5,83029,0.6
"Somerset County, PA",0.87,17.2,29405,5.3,98102,4
"Washington County, PA",0.92,11.5,81924,4.6,57587,3.2
"Westmoreland County, PA",0.93,11.8,151007,3.9,92109,0.4
"York County, PA",0.89,13.5,171781,4.9,63981,1.7
